assay;sd threshold;severe sepsis outcome average;nonsevere sepsis outcome average;IAF_normals;IAF_lowerbound;IAF upperbound;abs_difference_sepsissevere_IAF ;lower for baseline 0;upper for baseline 0;difference_sepsissevere_IAF ;difference_sepsisnonsevere_IAF 
4E.BP1;0.27446732;10.70732479;10.60009968;7.948679889;7.043733467;8.957123468;2.758644898;-0.968868433;0.896887311;2.758644898;2.651419786
ADA;0.203709873;6.49192383;6.384422597;5.425725944;4.961686133;6.1355932;1.066197885;-0.409350229;0.678532099;1.066197885;0.958696653
ARTN;0.339115658;0.936892234;0.847717662;0.8943955;0.606588662;1.85935606;0.042496734;-0.464039811;0.709867256;0.042496734;-0.046677838
AXIN1;0.540761216;4.755941064;4.523701818;1.731258611;1.412004623;2.267843753;3.024682453;-0.474233504;0.669550064;3.024682453;2.792443207
Beta.NGF;0.45077588;1.461725957;1.427970357;0.665139222;0.434079063;0.970917862;0.796586735;-2.179295886;1.300996092;0.796586735;0.762831135
CASP.8;0.283108903;3.52145234;3.363199773;1.631979833;1.30116736;2.119798883;1.889472507;-0.480330173;0.427342786;1.889472507;1.73121994
CCL11;0.382515001;7.144395957;7.268376851;7.115571722;6.529278757;8.057768465;0.028824235;-0.904946422;1.008443579;0.028824235;0.152805129
CCL19;0.384609494;11.26256649;11.05902844;8.595796444;7.646555297;9.767745975;2.666770045;-1.03777941;1.07722082;2.666770045;2.463231998
CCL20;0.57760649;10.84138957;10.35204214;6.6428495;5.51578406;8.946026153;4.198540074;-0.710702744;0.447252231;4.198540074;3.709192643
CCL23;0.234386684;12.21940883;11.93806097;10.02563022;9.43776529;10.55300631;2.193778608;-0.684252754;2.987764516;2.193778608;1.912430754
CCL25;0.25144248;6.530458723;6.590988474;6.364272778;5.55041856;7.375700535;0.166185946;-0.586292966;0.942196743;0.166185946;0.226715696
CCL28;0.279321242;3.065696809;3.00622039;2.409188;2.107724955;2.981636228;0.656508809;-0.455992593;0.58929885;0.656508809;0.59703239
CCL3;0.418359715;7.422289574;7.276740714;4.836632889;4.403576688;5.592268613;2.585656686;-0.590947221;0.457415299;2.585656686;2.440107825
CCL4;0.17471469;8.383564574;8.307465195;5.841293444;5.100113693;6.682396185;2.54227113;-1.446317474;0.803186374;2.54227113;2.466171751
CD244;0.388083184;7.399806596;7.405310195;6.588318278;6.196949427;7.156136968;0.811488318;-0.94697143;0.798278203;0.811488318;0.816991917
CD40;0.202489007;13.096685;12.90399682;10.99341483;10.54309719;11.29150433;2.103270167;-0.403506051;1.274097309;2.103270167;1.910581988
CD5;0.293557506;5.98766;5.773107468;5.088648056;4.63537129;6.183030467;0.899011944;-0.710039113;1.019263672;0.899011944;0.684459412
CD6;0.357052871;5.911511596;5.761448442;5.612406278;4.580460165;6.229678322;0.299105318;-0.301463045;0.572448228;0.299105318;0.149042164
CD8A;0.366096816;11.23511234;11.2548787;10.22249994;9.086006927;11.35134641;1.012612396;-0.550110872;0.420861246;1.012612396;1.032378761
CDCP1;0.244271454;4.601329681;4.697747987;2.773060333;1.851846353;3.683600133;1.828269348;-0.400443092;0.677322833;1.828269348;1.924687654
CSF.1;0.170894321;10.82678564;10.81325214;9.9751865;9.73091446;10.15297269;0.851599138;-0.732824988;0.876579586;0.851599138;0.838065643
CST5;0.568964188;5.825107021;5.769727727;5.957139833;5.38993741;6.792257307;0.132032812;-0.319253988;0.536585142;-0.132032812;-0.187412106
CX3CL1;0.63006015;6.851080213;6.987252727;5.321820333;4.86582774;5.911119183;1.529259879;-0.403561843;0.578936294;1.529259879;1.665432394
CXCL1;0.315448514;10.08888713;10.17864731;9.057242778;7.437381382;10.11618292;1.03164435;-0.517372206;0.840178128;1.03164435;1.121404527
CXCL10;0.277873274;11.61879074;11.96131256;9.293159389;8.559186345;10.10159465;2.325631356;-0.743653402;1.518368075;2.325631356;2.668153176
CXCL11;0.287223898;10.13269638;10.48654279;7.656910778;6.896390217;8.610024977;2.475785605;-0.330440664;2.271288719;2.475785605;2.829632014
CXCL5;0.31793441;11.18211319;10.96876964;10.76887078;8.589574892;12.06986687;0.413242414;-0.453276766;1.094382411;0.413242414;0.199898863
CXCL6;0.189412215;9.738949894;9.927355682;8.2728645;7.32589307;9.071142703;1.466085394;-0.301547344;0.306878806;1.466085394;1.654491182
CXCL9;0.201750196;8.784137447;9.086063409;6.962264611;6.229439623;7.838844197;1.821872836;-0.379974327;0.922051996;1.821872836;2.123798798
DNER;0.198405308;8.905484043;8.950558279;9.047544111;8.79949937;9.402966102;0.142060069;-0.231060159;0.305778639;-0.142060069;-0.096985832
EN.RAGE;0.30192609;4.504595638;4.047337532;2.027235389;1.43038461;2.52698215;2.477360249;-0.409222863;0.286510854;2.477360249;2.020102143
FGF.19;0.301150884;9.401953404;9.080276169;7.933744944;7.223705832;8.953008617;1.46820846;-0.821302434;0.804719076;1.46820846;1.146531225
FGF.21;0.171541981;9.251164894;8.580482435;5.301198056;3.06482342;7.889471398;3.949966838;-0.394557666;0.544705178;3.949966838;3.279284379
FGF.23;0.327529849;6.126420957;5.222937825;2.20759;1.808688857;2.882025272;3.918830957;-0.448501174;0.610572354;3.918830957;3.015347825
FGF.5;0.189300809;1.660395851;1.626337143;1.411436611;0.988577273;3.470325818;0.24895924;-0.587864932;0.527376083;0.24895924;0.214900532
Flt3L;0.21214931;9.081205638;9.482605325;9.322660389;8.772549517;9.743521635;0.241454751;-1.12706544;2.303176653;-0.241454751;0.159944936
GDNF;0.180547595;3.004664468;3.084835552;2.447606389;1.930234183;3.287784517;0.557058079;-0.567202423;0.835117473;0.557058079;0.637229163
HGF;0.272674335;11.7210366;10.98542399;8.493334389;8.08398416;9.171866488;3.227702207;-0.836390737;1.200411271;3.227702207;2.492089605
IFN.gamma;0.423379804;8.669120106;9.675520227;6.240455778;5.521024763;7.45677962;2.428664329;-0.500424024;0.772351266;2.428664329;3.435064449
IL.1.alpha;0.503243223;-1.304513191;-1.281376883;1.9381075;1.572984348;3.349347427;3.242620691;-0.326707162;0.418334828;-3.242620691;-3.219484383
IL.10RA;0.245205667;1.612983617;8.312127208;5.187760556;4.886213212;5.494639362;3.574776939;-0.45678373;0.414006097;-3.574776939;3.124366652
IL.10RB;0.37060407;6.694834894;1.593065747;5.835349444;5.01404701;6.64006852;0.859485449;-0.596850779;0.499746761;0.859485449;-4.242283697
IL.12B;0.176649875;6.582113936;6.585903831;1.643864;1.063343518;3.209595258;4.938249936;-0.508024591;0.570645653;4.938249936;4.942039831
IL.15RA;0.685645371;2.346639894;6.686153799;8.371690056;7.707872527;8.863815452;6.025050162;-0.410954678;0.346262385;-6.025050162;-1.685536257
IL.17A;0.173811377;4.496021277;1.182608571;1.1593735;0.888289587;1.754214758;3.336647777;-0.559044679;0.622719784;3.336647777;0.023235071
IL.17C;0.308951039;3.271489574;2.187791591;1.190783611;0.913963635;2.03706139;2.080705963;-0.200754199;0.156725928;2.080705963;0.99700798
IL.18R1;0.319170717;9.780456277;3.928656299;1.802584333;1.402141242;2.479907167;7.977871943;-0.463491969;0.629447998;7.977871943;2.126071966
IL.20;0.515760178;1.303214149;3.095883117;0.8256725;0.670016145;1.023998728;0.477541649;-0.92121398;0.9105398;0.477541649;2.270210617
